time,Latitude,Longitude,Depth,Magnitude,magType,NbStations,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-09-02T01:25:12.320Z,17.97416667,-66.79166667,15.68,2.59,md,15,160,0.04558,0.15,pr,pr71458953,2024-09-02T01:38:27.950Z,"3 km SE of Indios, Puerto Rico",earthquake,0.53,0.69,0.034093635,5,reviewed,pr,pr
2024-09-02T01:05:59.397Z,36.0392,70.4663,132.75,4.5,mb,24,97,1.87,0.75,us,us6000np5y,2024-09-02T02:37:16.040Z,"80 km NNW of PÄrÅ«n, Afghanistan",earthquake,8.55,12.464,0.221,6,reviewed,us,us
2024-09-02T01:03:22.877Z,-31.8507,-71.5538,35,3.9,mb,28,172,0.528,0.58,us,us6000np5x,2024-09-02T01:56:35.040Z,"43 km WSW of Illapel, Chile",earthquake,2.94,1.967,0.23,5,reviewed,us,us
2024-09-02T00:42:39.740Z,19.1855,-67.00233333,53.46,3.37,md,10,249,0.7216,0.46,pr,pr71458948,2024-09-02T01:01:06.470Z,"75 km N of Isabela, Puerto Rico",earthquake,3.27,8.79,0.091597652,8,reviewed,pr,pr
2024-09-02T00:39:35.212Z,4.4649,96.2435,10,4.9,mb,59,128,1.033,0.92,us,us6000np5u,2024-09-02T00:56:52.040Z,"37 km NNE of Meulaboh, Indonesia",earthquake,6.6,1.869,0.059,91,reviewed,us,us
2024-09-02T00:39:08.874Z,4.4863,96.4393,10,4.6,mb,46,65,0.894,1.07,us,us6000np5t,2024-09-02T01:02:08.040Z,"51 km NE of Meulaboh, Indonesia",earthquake,6.99,1.859,0.09,37,reviewed,us,us
2024-09-01T23:39:50.498Z,26.301,125.7094,149.06,4.6,mb,73,46,2.333,1.16,us,us6000np5j,2024-09-01T23:53:24.040Z,"170 km NNE of Hirara, Japan",earthquake,7.45,4.079,0.06,82,reviewed,us,us
2024-09-01T22:41:35.390Z,35.9688333,-117.6556667,2.69,2.45,ml,28,95,0.02133,0.14,ci,ci40721871,2024-09-02T15:13:46.357Z,"23 km E of Little Lake, CA",earthquake,0.2,0.25,0.201,26,reviewed,ci,ci
2024-09-01T20:40:32.690Z,17.99266667,-66.83466667,16.36,2.71,md,21,145,0.03694,0.27,pr,pr71458933,2024-09-01T21:00:11.620Z,"1 km W of Indios, Puerto Rico",earthquake,0.51,0.67,0.156231142,8,reviewed,pr,pr
2024-09-01T20:36:25.158Z,53.0944,160.2274,35,4.6,mb,45,161,0.955,0.75,us,us6000np4i,2024-09-01T20:53:49.040Z,"107 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,10.72,1.951,0.062,78,reviewed,us,us
2024-09-01T20:22:46.810Z,19.12633324,-156.0975037,96.11000061,2.67,ml,50,298,0.2553,0.349999994,hv,hv74436007,2024-09-01T20:47:53.397Z,"35 km W of Hawaiian Ocean View, Hawaii",earthquake,3.98,2.71000004,0.25,9,automatic,hv,hv
2024-09-01T20:15:58.840Z,19.19233333,-155.4866667,31.79,2.75,ml,43,77,0.04345,0.1,hv,hv74435997,2024-09-02T14:21:39.040Z,"1 km SW of PÄhala, Hawaii",earthquake,0.57,0.58,0.179723049,34,reviewed,hv,hv
2024-09-01T20:13:34.205Z,-6.8225,155.5322,39,6.4,mww,111,34,5.085,0.7,us,us6000np3z,2024-09-03T05:12:49.657Z,"56 km S of Panguna, Papua New Guinea",earthquake,8.15,1.941,0.031,103,reviewed,us,us
2024-09-01T19:59:25.814Z,3.8194,126.4897,50.665,5,mb,90,66,3.151,1.05,us,us6000np3w,2024-09-01T20:17:06.040Z,"208 km SSE of Sarangani, Philippines",earthquake,7.51,6.853,0.046,152,reviewed,us,us
2024-09-01T17:09:14.231Z,-11.2652,162.2315,10,4.9,mb,58,117,2.889,0.75,us,us6000np36,2024-09-01T17:27:54.040Z,"95 km SSE of Kirakira, Solomon Islands",earthquake,5.49,1.875,0.057,97,reviewed,us,us
2024-09-01T17:01:41.110Z,37.42883333,-118.4613333,3.48,2.72,md,32,62,0.02581,0.07,nc,nc75056136,2024-09-04T04:05:04.340Z,"6 km NNW of Dixon Lane-Meadow Creek, CA",earthquake,0.17,0.38,0.139,49,reviewed,nc,nc
